"제품코드","product_cnt","제품명","약식품번(제품번호와같이키값으로사용)"
PEMA013104400,1,PEMA-HR1000대안(옥계),805463
PEMA023054200,1,PEMA-HR1000영화(경주),807594
TSN4012057801,1,PEMA-SN400 아주(고양),809017
PEMA043070800,1,PEMA-SR3000F청주금성(청원),776360
PEMA043048519,1,PEMA-HR1500쌍용(울산),808228
PEMA043005600,1,PEMA-SR2000광주알엠씨(장성),808439
PEMA013058500,1,PEMA-HR1000유성(마산),780650
PEMA013110300,1,PEMA-SP1000신성콘크리트(경주),805936
PEMA033078012,1,PEMA-HR1000한라(천안),766954
PEMA013090800,1,CSA5000장원(인천),804475
PEMA013029200,1,CSA4000보림(합천),804891
TSN4012001515,1,PEMA-SN400금풍(일산),808219
PEMA013030400,1,PEMA-HR1000부국(대전),765898
PEMA043043500,1,PEMA-SR3000F세화(안산),806597
PEMA023109700,1,PEMA-HR1000우진(경주),806106
PEMA033099600,1,PEMA-HR1000삼성(남원),807639
PEMA023121400,1,PEMA-HR1000유덕(춘천),807999
PEMA023064500,1,PEMA-HR1000조양(여수),805957
PEMA023118900,1,SRE-110유니캠(화성),807078
PEMA023014200,1,PEMA-SR2000대성(울산),807471
PEMA013036500,1,PEMA-HR1000상일(포천),766014
PEMA013122800,1,CSA5000와룡(안동),807768
PEMA023122400,1,PEMA-SR2000성진(부산),807698
PEMA053103800,1,PEMA-SR2000A 에스지이(인천) 구.경인,808933
PEMA013040601,1,PEMA-HR1000성신(구리),766161
PEMA023074700,1,PEMA-HR1000푸른(장흥),807770
PEMA033008200,1,PEMA-HR1000 금정(남원),808964
PEMA013901301,1,PEMA-SR5000F강남건영(여주2),804857
TSN4012030609,1,PEMA-SN400범양(일산),808613
PEMA013002500,1,PEMA-HR1500경남(사천),780941
PEMA013058602,1,PEMA-HR1000유진(광주),766591
PEMA033023006,1,PEMA-SR3000F동양(정관),804712
PEMA023041507,1,PEMA-SR3000F 슬럼프용 성진도시(화성),809025
PEMA063088300,1,PEMA-SR2000성진(안양),808162
PEMA013007300,1,PEMA-HR1500금강(산청),805486
PEMA013058608,1,PEMA-HR1000유진(수원),766655
PEMA93060000,1,CSA5000인광(당진),808520
PEMA013119700,1,CSA5000세일(성주),807219
PEMA023024101,1,CSA5000동원(청주),806019
PEMA013023500,1,CSA5000동양산업(김해),779675
PEMA033015600,1,PEMA-SR3000F대양(양산),783164
PEMA013120800,1,PEMA-HR1000화남(영덕),807473
PEMA043041800,1,PEMA-HR1500세경(진영),804455
PEMA013114200,1,PEMA-HR1000뉴그린(여수),806487
PEMA013032800,1,PEMA-HR1000삼성(부안),806926
PEMA013050401,1,PEMA-HR1000아주(광주),766428
PEMA023006300,1,PEMA-HR1000국민(용인),806889
PEMA013023009,1,PEMA-HR1500동양건재(부산),804314
PEMA033117000,1,PEMA-HR1500 알파(공주),809004
PEMA023058622,1,PEMA-HR1000유진(나주),808663
PEMA033090900,1,PEMA-HR1000 남신(남원),809024
PEMA033006300,1,PEMA-SR3000F국민(용인),807566
PEMA063006900,1,PEMA-SR3000F대상(의령),783113
PEMA013073200,1,PEMA-HR1000태형(화성),766891
PEMA023011300,1,PEMA-HR1000뉴신화(여수),804538
